PlayerName,Week,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextWeek
Athlete B,17,2891.2475,5.375,27.49,6.035,0,60.295,1115.11,0.3,3.815,5.11,3065.085926,6.677222222,36.70722222,6.011481481,0,68.74935185,1150.40963,0.346296296,3.765277778,4.83462963,0
Athlete C,17,3279.0475,9.655,203.38,8.005,44.28,72.945,877.0575,0.3,3.5,5.7925,4140.770833,11.31481481,299.9938889,8.313518519,85.27722222,123.3885185,1277.245463,0.3325,3.411574074,5.500925926,1
Athlete D,17,2300.56,8.531428571,59.46,6.567142857,0,68.29285714,855.3114286,0.381428571,3.794285714,5.625714286,2749.131652,8.475193808,77.16558652,6.663172252,1.717245542,80.09988791,1004.974559,0.378210073,3.73611601,5.274496179,0
Athlete E,17,3404.6425,7.31,44.61,6.3325,1.96,64.9775,1239.9925,0.3275,3.6325,4.69,3457.8225,9.721481481,112.9957407,6.676481481,2.910092593,84.54083333,1249.758981,0.343796296,3.601296296,5.121851852,0
Athlete F,17,4342.9525,8.1175,123.54,7.515,23.58,105.545,1586.065,0.37,3.61,5.335,4708.67463,8.920462963,130.0168519,7.354074074,24.70018519,118.8293519,1696.555278,0.37962963,3.583518519,5.430648148,0
Athlete G,17,4339.196667,7.473333333,164.4733333,7.81,31.99666667,114.8866667,1589.493333,0.36,3.603333333,5.38,4407.342593,11.73096296,224.674963,7.455851852,36.60896296,154.7407407,1601.202,0.386444444,3.622074074,5.629037037,0
Athlete H,17,3234.3775,7.405,91.4525,6.9575,8.165,79.4475,1188.4075,0.315,3.7325,5.6025,3268.980093,7.809166667,81.80574074,6.901851852,8.941759259,84.21240741,1186.782315,0.340648148,3.667592593,5.6925,0
Athlete I,17,5854.44,12.79,334.4,8.313333333,65.56666667,195.9633333,2076.526667,0.396666667,3.546666667,6.306666667,5384.622296,13.3022963,291.3367407,7.844814815,50.52903704,177.984963,1872.239926,0.40562963,3.474148148,6.00162963,1
Athlete J,17,3665.265,9.6825,202.1725,6.5475,3.5125,100.3875,1340.8725,0.305,3.58,5.1975,4336.434444,7.961296296,114.5461111,6.621481481,1.255092593,95.81287037,1591.61287,0.345,3.617592593,4.89212963,0
Athlete K,17,4881.555,9.0925,234.8775,8.365,48.4625,99.2375,1475.93,0.295,3.005,4.7775,4831.804167,10.09425926,231.8338889,8.155925926,45.72648148,115.6312037,1448.643241,0.315555556,2.990740741,4.756388889,1
Athlete L,17,2835.0825,6.6125,37.2725,6.1475,0,74.515,1053.5425,0.3,3.6625,5.0775,3160.639259,7.153148148,48.92611111,6.23712963,0,83.18564815,1132.456759,0.328240741,3.620277778,5.112037037,0
Athlete M,17,5033.0725,12.92,391.8,8.0025,82.9275,158.1025,1629.6975,0.3525,3.18,6.0175,4379.187222,12.77018519,334.5426852,7.83537037,63.49694444,145.645463,1434.273333,0.345555556,3.261759259,5.998981481,0
Athlete N,17,4784.9975,11.045,205.1225,7.58,28.1925,187.6,1796.5825,0.3625,3.68,6.385,4371.494074,12.9412037,251.8868519,7.257037037,20.31981481,164.7725,1563.081019,0.363240741,3.55,6.596851852,0
Athlete O,17,2382.485,3.9325,32.215,5.535,0,34.6475,883.3525,0.285,3.8425,3.495,3132.29713,5.791296296,44.18342593,6.015925926,0,62.69657407,1133.572315,0.326296296,3.708240741,3.832777778,0
Athlete P,17,5115.176667,5.116666667,22.10333333,6.02,0,112.1966667,1867.953333,0.33,3.64,4.61,4542.521778,6.663777778,52.16377778,6.230222222,0,93.84274074,1583.971926,0.349777778,3.49,5.066148148,0
Athlete R,17,2995.62,2.45,9.5,5.65,0,38.96,1064.51,0.3,3.55,5.13,3044.396,2.796,9.102,5.782,0,35.74,1043.488,0.296,3.4,4.244,0
Athlete S,17,3866.555,15.52,130.93,6.915,3.95,83.25,1243.705,0.395,3.215,8.335,4555.476667,14.80666667,205.945,7.63,44.00666667,94.92833333,1536.693333,0.396666667,3.358333333,7.075,0
Athlete T,17,1192.02,11.69,46.34,6.86,0,40.85,492.31,0.4,4.13,4.43,3338.838,8.014,83.788,7.124,15.894,87.776,1190.088,0.346,3.582,4.794,0
Athlete U,17,5938.1,9.57,312.27,8.65,121.185,137.295,2024.635,0.355,3.4,5.34,4878.675,11.38666667,230.1233333,7.676666667,52.30333333,103.4533333,1592.826667,0.365,3.22,5.068333333,0
Athlete V,17,4471.445,7.05,75.185,6.61,0,113.015,1669.425,0.315,3.72,5.13,3505.238333,9.615,128.0383333,6.393333333,2.341666667,82.34166667,1236.713333,0.333333333,3.51,5.738333333,0
Athlete AC,18,1892.826,8.624,174.992,6.568,38.284,50.422,710.76,0.318,3.808,3.69,2232.21962,18.30602469,185.3007753,6.181837037,20.20432593,70.64269136,719.7859704,0.325481481,3.416533333,3.61465679,0
Athlete B,18,1617.768333,5.508333333,65.12333333,5.53,0,37.95666667,580.7716667,0.281666667,3.856666667,2.735,2042.315072,6.223836051,68.10270436,5.718984741,0,47.06820624,735.4413066,0.29315543,3.799042321,3.22458509,0
Athlete C,18,2709.838,11.74,194.402,8.444,68.416,100.96,915.352,0.362,3.312,4.574,2765.538256,11.34418131,198.485715,8.141582198,53.81179296,94.40055175,906.74102,0.345292181,3.326654717,4.977129645,0
Athlete D,18,1647.598,3.966,29.614,5.886,2.568,20.246,560.066,0.27,3.53,2.766,2045.84546,5.735923248,44.98320553,6.230272086,2.148836489,38.82909593,712.2106704,0.304984134,3.547034282,3.851108761,0
Athlete E,18,2762.155,9.305,155.1683333,6.605,9.918333333,71.62833333,999.2933333,0.361666667,3.958333333,3.775,2893.229193,9.397116886,147.6755555,6.524140206,7.610867331,71.44014251,1026.203992,0.353288032,3.843900743,3.979781453,0
Athlete F,18,2468.223333,8.075,77.86333333,7.326666667,25.20833333,52.91,880.0316667,0.345,3.485,4.033333333,2929.981707,8.399215482,90.17811936,7.303352301,23.39307211,68.56651899,1042.980755,0.355248099,3.496765144,4.311569713,0
Athlete G,18,2288.203333,13.14,111.7233333,7.593333333,28.75,64.45,808.8466667,0.416666667,3.526666667,5.763333333,2831.685816,12.97454707,146.0140898,7.600968348,30.58819591,78.59831327,995.3116415,0.40538485,3.499963928,5.679796779,0
Athlete H,18,1941.042,7.286,70.314,6.434,5.018,44.162,739.624,0.294,3.808,5.098,2525.484785,7.750366529,85.03444018,6.689895504,7.019051181,61.6089993,943.5213237,0.309600793,3.779723335,5.194378601,0
Athlete I,18,1773.2775,6.575,72.005,7.07,23.4475,44.465,624.5875,0.29,3.46,4.815,3410.944174,9.168340192,189.8609122,7.681454047,47.34786351,104.290192,1193.445971,0.326796982,3.448305898,5.221364883,0
Athlete J,18,2579.163333,6.198333333,46.14333333,6.146666667,0,54.44666667,971.1016667,0.355,3.723333333,4.176666667,2758.873548,7.463516656,90.71739471,6.299323105,1.436672086,65.026446,1024.054066,0.341433471,3.669324121,4.586837034,0
Athlete K,18,2624.803333,8.288333333,124.6916667,8.071666667,44.27833333,57.93,775.5966667,0.278333333,2.878333333,4.093333333,3380.735731,8.193305983,152.2330877,8.049603804,45.80597377,71.83610612,1006.750331,0.274899914,2.903164067,4.191279277,0
