Distance,HSR,AccelMetres,EWMA_Distance,EWMA_HSR,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,InjuredNextTrainingSession
4666.24,487.59,104.56,2441.654,193.716,52.04,853.818,0.368,0
4686.84,291.24,120.69,3190.049333,226.224,74.92333333,1162.905333,0.398666667,0
2684.75,194.9,62.36,3021.616222,215.7826667,70.73555556,1088.770222,0.339111111,0
3269.73,308.02,71.7,3104.320815,246.5284444,71.05703704,1110.096815,0.369407407,0
6786.02,150.37,222.88,4331.553877,214.4756296,121.6646914,1623.327877,0.379604938,0
4712.5,239.72,97.2,4458.535918,222.8904198,113.5097942,1633.691918,0.403069959,0
2684.75,194.9,62.36,3867.273945,213.5602798,96.45986283,1402.627945,0.342046639,0
3613.39,231.26,75.76,3782.645963,219.4601866,89.55990855,1325.85863,0.314697759,0
4910.54,345.6,112.99,4158.610642,261.506791,97.36993903,1434.09242,0.369798506,0
5658.16,299.12,103.11,4658.460428,274.0445274,99.28329269,1599.201613,0.406532338,0
3177.41,336.61,89.4,4164.776952,294.8996849,95.98886179,1447.014409,0.414354892,0
5090.34,0,6.52,4473.297968,196.5997899,66.16590786,1361.729606,0.382903261,0
4133.19,169.73,94.67,4359.928645,187.6431933,75.66727191,1369.903071,0.371935507,0
2625.8,144.03,29.4,3781.885764,173.1054622,60.24484794,1218.26538,0.394623672,0
2459.07,223.73,83.19,3340.947176,189.9803081,67.89323196,1116.32692,0.429749114,0
5411.28,420.4,119.79,4031.058117,266.7868721,85.19215464,1353.35128,0.43649941,0
3960.25,272.01,106.78,4007.455411,268.5279147,92.38810309,1346.774187,0.480999606,0
6111.17,188.76,161.53,4708.693608,241.9386098,115.4354021,1651.299458,0.457333071,0
938.1,0,33.75,3451.829072,161.2924065,88.20693471,1220.246305,0.508222047,0
4740.35,477.46,134.57,3881.336048,266.6816044,103.6612898,1292.887537,0.465481365,0
2494.95,279.98,148.54,3419.207365,271.1144029,118.6208599,1176.508358,0.486987577,0
3596.21,221,76.1,3478.208243,254.4096019,104.4472399,1194.702239,0.461325051,0
641.31,58.5,71.16,2532.575496,189.1064013,93.35149328,898.6714924,0.600883367,0
2306.8,178.93,42.22,2457.316997,185.7142675,76.30766218,815.5243283,0.513922245,0
