PlayerName,Week,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextWeek
Athlete AC,102,5358.89355,70.8071,253.74,7.52544,0,156.12,1615.37223,0.35573,3.01438,4.33333,4571.026966,79.095198,231.616002,7.276234,1.066,154.732,1408.118586,0.401416,3.040732,4.183332,0
Athlete AM,102,6663.16992,61.60095,333.94,7.99678,0,220.23,1820.21637,0.28046,2.73176,5,3855.617236,67.216094,268.984002,7.758708,1.06,135.058,1089.65442,0.319308,2.854202,4.162746,1
Athlete BA,102,3990.60522,57.41107,36.22,6.20713,0,75.11,1155.48683,0.26731,2.89552,3.33333,3560.42578,70.858778,59.576,6.64341,0,65.99,1015.708578,0.3345,2.85552,2.546666,0
Athlete BD,102,6278.21777,69.11279,391.50001,8.33509,0,219.06,1986.85869,0.36453,3.16469,4.73333,4814.76027,82.641634,366.262002,7.78471,7.05,169.146,1475.591342,0.416086,3.031812,4.653508,0
Athlete BE,102,4978.67334,57.48393,10.7,5.8258,0,127.95,1555.69908,0.29206,3.12473,3.16667,3963.598028,71.330262,93.564,6.750372,0,119.174,1258.061162,0.375926,3.172274,3.858608,0
Athlete BU,102,6901.95117,63.80849,360.38999,8.16274,0,342.64,2303.22949,0.35489,3.33707,4.94118,4621.031018,75.42979,302.921998,7.893838,0,206.88,1514.401378,0.408406,3.260118,4.499346,0
Athlete BV,102,2632.5979,53.62143,10.68,5.80633,0,40.77,742.25829,0.25198,2.81949,3.66667,3064.310814,62.585292,22.896,6.316424,0,58.946,947.538084,0.318194,3.10172,3.233334,0
Athlete E,102,4192.3042,53.09615,82.98,6.65205,0,88.09,1231.10274,0.25987,2.93658,4,4088.289316,69.168112,154.48,7.360024,0,98.108,1236.889742,0.346916,3.012238,3.961538,0
Athlete H,102,6063.43726,56.05643,167.76,8.34229,0,215.56,1888.94746,0.29106,3.11531,4.75,4237.816188,70.329248,162.494,7.821592,0.598,139.536,1348.616542,0.37331,3.183342,4.217948,0
Athlete I,102,6498.88403,70.22961,324.51,6.94038,0,268.42001,1911.09658,0.3442,2.94065,4.8125,4218.659502,78.361342,282.163998,7.728364,5.892,173.202002,1289.08295,0.40014,3.064134,4.425,0
Athlete Y,102,6917.40015,65.17815,290.01,7.94506,0,208.6,1957.8753,0.30168,2.83036,4.6,4436.489876,70.936992,265.780002,7.779454,7.016,127.402,1288.23578,0.341702,2.899778,3.449524,0
Athlete AC,103,4185.471008,76.6863025,126.3725025,7.407205,0,165.9700025,1290.85136,0.388915,3.062865,3.375,4472.549242,78.22436596,173.4184281,7.488715617,0.427716049,169.6598779,1383.390717,0.398828704,3.069590926,3.979423333,0
Athlete AM,103,4843.36472,77.5973,293.26,7.6866,0,119.93,1239.45623,0.33096,2.55908,3.75,4184.866397,70.676496,277.0760013,7.734672,0.706666667,130.0153333,1139.588357,0.323192,2.755828,4.025164,0
Athlete AO,103,4532.745097,83.35282,345.6633367,8.575323333,11.40666667,246.4233367,1464.384163,0.44735,3.21728,4.466666667,4367.960342,80.19134644,395.2234074,8.772328889,14.51266667,236.9414826,1422.146964,0.434470667,3.254474741,4.538318074,0
Athlete AW,103,3803.169143,69.72758333,116.0066667,7.560286667,0,178.42,1303.803743,0.39529,3.41037,3.944443333,3172.898096,64.26714,172.7091111,7.89047837,10.1642963,140.4213333,1050.225041,0.350644074,3.292434963,4.853333333,0
Athlete AZ,103,4375.78882,86.33585,171.79,7.43139,0,203.42,1384.37413,0.45524,3.16371,4.16667,4605.289392,74.928612,393.912002,8.631504,18.578,253.83,1481.45539,0.40232,3.232434,4.639924,0
Athlete BA,103,3433.6511,62.4358075,39.71,6.0267825,0,81.8625,1004.982558,0.3038675,2.90641,2.5833325,3668.330042,67.00603769,48.82493827,6.304572315,0,80.02780864,1066.707089,0.323109414,2.895416667,2.810904414,0
Athlete BD,103,4520.414818,74.318695,197.8750025,7.4049825,0,164.4474975,1367.705455,0.3707725,3.015295,5.235715,4720.247572,78.13709735,272.045496,7.589470463,2.828703704,165.8892887,1433.805809,0.391123673,3.019620185,5.037320802,0
Athlete BE,103,3341.052468,65.6500425,36.1275,6.4740025,0,110.8925,1100.257485,0.3575025,3.2776575,3.1168825,3749.234617,69.15710627,62.4237963,6.62343108,0,121.4734877,1216.75176,0.371470586,3.233787253,3.649056451,0
Athlete BI,103,3660.991795,73.061445,101.46,6.864515,0,125.03,1159.73675,0.385705,3.16882,1.5,3675.411335,75.33228667,103.8683333,7.059621667,0,114.745,1165.357383,0.39985,3.189358333,2.444445,0
Athlete BJ,103,3209.817865,71.91541,175.165,7.266545,0,118.63,1023.74835,0.381875,3.184955,6.214285,3031.299987,73.03666667,179.8983333,7.315173333,4.621666667,114.8816667,981.8073817,0.394776667,3.252403333,5.44365,0
Athlete BT,103,3453.079925,66.20082,179.695,8.038355,0,165.645,1072.04748,0.340815,3.22302,4.3,3642.297118,71.21056167,246.4150017,7.981655,0,183.1666667,1129.094113,0.366321667,3.128296667,4.527778333,0
Athlete BU,103,4661.550705,73.955745,234.0475,7.6203175,0,230.84,1537.045575,0.4074825,3.31635,3.093435,4732.466409,75.44008228,268.1729313,7.850008426,0,227.0210494,1555.243699,0.411949105,3.286078457,3.912195802,0
Athlete BV,103,3456.1923,61.7606,20.49666667,6.31469,0,74.25666667,1091.95431,0.326173333,3.137633333,2.444443333,3334.26299,62.29708267,18.38590123,6.195123975,0,66.47898765,1037.369474,0.321070519,3.100365926,2.578600519,0
Athlete BW,103,4055.325295,74.2748975,113.7975,7.30286,0,120.49,1242.581615,0.379665,3.0760925,3.9666675,3943.961705,74.14984398,111.5146296,7.224875741,0,106.8997222,1192.712067,0.373173056,3.02845963,4.01728463,0
Athlete BY,103,4277.94551,78.42111,268.0975,7.6826375,0,198.975,1348.027255,0.41033,3.1349075,3.863095,3892.554153,76.33415815,280.5847222,7.449276667,0.545277778,177.4778704,1218.824404,0.396032222,3.099248889,4.128196759,0
Athlete CA,103,2484.541077,64.84221667,124.18,7.42627,0,131.8833333,823.8879733,0.357643333,3.301766667,3.472223333,3107.595334,71.04552059,149.1096296,7.586215333,0,133.3921481,1005.365842,0.382134667,3.229363556,3.991728296,0
Athlete CK,103,227.98581,6.1314,0,2.98418,0,0,44.03382,0.01974,1.93143,0,3645.506022,60.524354,263.442008,6.933182,0,136.32,1033.199576,0.286628,2.7029,3.455064,0
Athlete CQ,103,3970.0062,80.06735,315.67999,8.73912,0,162.83,967.2998,0.32514,2.43652,4.25,5122.203788,80.896838,291.979998,8.30417,0.496,180.684,1336.829198,0.350292,2.604888,4.579564,0
Athlete CR,103,4761.61838,68.556115,311.370005,8.206105,0,200.625,1356.38068,0.323975,2.86094,4.483335,4951.675675,73.63136833,321.015,8.50418,3.555,216.5533333,1452.11056,0.361135,2.953723333,4.208731667,0
Athlete D,103,4201.992773,57.73645,104.3966667,7.11694,0,136.9,1240.128207,0.28075,2.92876,2.583333333,4212.424312,61.00487378,154.7493333,7.574768,0,139.3339259,1284.74155,0.307055111,3.022037185,3.78280363,0
Athlete E,103,3507.72058,68.7627575,99.6825,7.20406,0,105.3575,1069.361138,0.3504975,3.06128,3.125,3895.63414,70.03002892,132.2535494,7.409510432,0,108.9313272,1182.496018,0.35384713,3.032711481,3.733024506,0
Athlete H,103,3961.185135,68.464605,131.8225,7.7993325,0,143.23,1252.008013,0.3592825,3.158025,4.7115375,4262.563875,69.91933716,150.8431173,7.853211389,0.239938272,148.8854321,1352.828935,0.369012623,3.171932469,4.798036389,0
Athlete I,103,3598.82583,71.3094475,138.5550025,7.246985,0,137.675,1081.202295,0.35486,2.991775,3.38889,3988.968806,74.82901713,207.6868528,7.509881975,2.364074074,158.8279638,1211.552733,0.377940432,3.033951543,3.845422593,0
Athlete J,103,4435.281418,69.05863,86.655,7.0224575,0,117.9675,1377.934093,0.359405,3.1116075,3.51515,4580.698896,71.60819769,103.3036111,7.032789722,0,118.7484259,1403.657221,0.366731852,3.068737778,3.8693425,0
Athlete Y,103,4611.339233,72.247865,191.6925,7.515985,0,130.815,1323.42261,0.346795,2.8802475,3.3125,4637.837185,72.36917173,221.1704638,7.624705741,2.815061728,130.5884568,1335.966459,0.347067407,2.880844537,3.326197901,0
Athlete AC,104,5330.21811,81.6803825,270.5625,7.46504,0,243.2324975,1634.149265,0.419205,3.077105,4.2104175,4952.644134,78.36133201,236.7570049,7.428129196,0.084487121,212.8235241,1514.198195,0.397456164,3.047072652,3.787216615,0
Athlete AM,104,1745.14319,77.89109,476.97999,6.64026,0,209.77,517.76371,0.37331,2.981235,17.375,3113.232987,75.28404111,399.5888841,7.332116667,0.392592593,167.1485185,862.751267,0.348253333,2.831637222,11.47231333,0
Athlete AO,104,3878.363655,80.5279475,263.2600025,8.3999625,1.7675,217.8825,1263.720778,0.4262825,3.18681,4.125,4138.043981,80.00216069,308.3170864,8.600194126,6.366759259,223.727227,1343.328069,0.426219043,3.205963752,4.331320727,0
